fast_period,slow_period,signal_period,total_pnl,total_pnl_percent,win_rate,total_trades,winning_trades,losing_trades,avg_pnl,max_drawdown,final_equity,return_percent
24,23,5,-127.85,-0.13,0.0,2,0,2,-63.92,0.13,99872.15,-0.13
24,23,6,-127.35,-0.13,0.0,2,0,2,-63.67,0.13,99872.65,-0.13
24,23,7,-127.35,-0.13,0.0,2,0,2,-63.67,0.13,99872.65,-0.13
24,22,5,-126.45,-0.13,0.0,2,0,2,-63.23,0.13,99873.55,-0.13
24,22,6,-126.45,-0.13,0.0,2,0,2,-63.23,0.13,99873.55,-0.13
24,23,8,-122.15,-0.12,0.0,2,0,2,-61.07,0.12,99877.85,-0.12
19,18,6,-118.9,-0.12,0.0,1,0,1,-118.9,0.12,99881.1,-0.12
19,18,7,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
20,18,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
20,18,7,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
20,19,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
20,19,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
20,19,7,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,18,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,18,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,18,7,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,19,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,19,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,20,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
21,20,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
22,18,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
22,18,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
22,19,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
22,19,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
22,20,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
22,21,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
23,18,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
23,18,6,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
23,19,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
23,20,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
24,18,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
24,19,5,-118.75,-0.12,0.0,1,0,1,-118.75,0.12,99881.25,-0.12
23,21,5,-118.0,-0.12,0.0,1,0,1,-118.0,0.12,99882.0,-0.12
24,20,5,-118.0,-0.12,0.0,1,0,1,-118.0,0.12,99882.0,-0.12
19,18,5,-115.3,-0.12,50.0,2,1,1,-57.65,0.12,99884.7,-0.12
20,18,5,-115.3,-0.12,50.0,2,1,1,-57.65,0.12,99884.7,-0.12
19,18,8,-109.2,-0.11,0.0,1,0,1,-109.2,0.11,99890.8,-0.11
20,18,8,-109.2,-0.11,0.0,1,0,1,-109.2,0.11,99890.8,-0.11
22,18,7,-109.2,-0.11,0.0,1,0,1,-109.2,0.11,99890.8,-0.11
24,23,9,-109.1,-0.11,0.0,2,0,2,-54.55,0.11,99890.9,-0.11
