period,overbought,oversold,total_pnl,total_pnl_percent,win_rate,total_trades,winning_trades,losing_trades,avg_pnl,max_drawdown,final_equity,return_percent
10,62.5,36.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,36.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,37.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,37.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,38.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,38.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,39.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,39.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,62.5,40.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,36.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,36.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,37.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,37.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,38.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,38.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,39.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,39.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.0,40.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,36.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,36.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,37.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,37.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,38.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,38.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,39.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,39.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,63.5,40.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,64.0,36.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,64.0,36.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,64.0,37.0,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
10,64.0,37.5,-122.2,-0.12,0.0,2,0,2,-61.1,0.12,99877.8,-0.12
